,Groceries,Food & Drink,Shopping,Schools,Entertainment,Fitness Facilities,Transportation,Libraries,Goods and Services,Crowded Housing,Health Ins,Poverty,Violent Crime,Property Crime,EduLessThanHS,Unemployment Rate,NTA_Name,NTA_Code,Location
142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.09,0.831,0.331,0.055,0.14800000000000002,0.335,0.091,Manhattanville,MN06,"{'lat': 40.81694, 'lng': -73.95583}"
143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.04,0.9259999999999999,0.242,0.031,0.092,0.11699999999999999,0.073,Morningside Heights,MN09,"{'lat': 40.81, 'lng': -73.9625}"
145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.031,0.924,0.10800000000000001,0.019,0.079,0.068,0.065,Upper West Side,MN12,"{'lat': 40.78705, 'lng': -73.97542}"
147,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25,1.0,0.04,0.93,0.126,0.044000000000000004,0.24,0.057999999999999996,0.066,Chelsea,MN13,"{'lat': 51.48755, 'lng': -0.16936}"
148,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,0.04,0.93,0.126,0.044000000000000004,0.24,0.057999999999999996,0.066,Flat Iron,MN13,"{'lat': 39.53228, 'lng': -84.24883}"
149,0.85,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.04,0.93,0.126,0.044000000000000004,0.24,0.057999999999999996,0.066,Union Square,MN13,"{'lat': 39.28677, 'lng': -76.64136}"
150,0.0,1.0,0.1,0.25,0.2,1.0,0.2,0.05,0.95,0.03,0.9590000000000001,0.08,0.016,0.096,0.026000000000000002,0.057,Lincoln Square,MN14,"{'lat': 40.11059, 'lng': -88.20699}"
151,0.0,1.0,0.9,1.0,0.7,1.0,1.0,0.0,1.0,0.037000000000000005,0.882,0.124,0.051,0.212,0.081,0.078,Clinton,MN15,"{'lat': 42.05754, 'lng': -83.94812}"
152,0.0,1.0,0.3,0.25,0.2,1.0,0.5,0.0,1.0,0.023,0.9359999999999999,0.134,0.19699999999999998,1.197,0.038,0.055999999999999994,Midtown,MN17,"{'lat': 35.87952, 'lng': -84.5641}"
154,0.0,1.0,1.0,0.95,0.65,1.0,1.0,0.0,1.0,0.022000000000000002,0.961,0.062,0.032,0.11900000000000001,0.02,0.043,Turtle Bay,MN19,"{'lat': 26.79923, 'lng': -82.17676}"
156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.045,0.943,0.125,0.036000000000000004,0.138,0.045,0.055,Murray Hill,MN20,"{'lat': 40.76, 'lng': -73.81306}"
157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.045,0.943,0.125,0.036000000000000004,0.138,0.045,0.055,Kips Bay,MN20,"{'lat': 40.73955, 'lng': -73.97708}"
158,0.0,1.0,1.0,0.2,0.45,1.0,0.7,0.0,1.0,0.036000000000000004,0.9440000000000001,0.092,0.031,0.168,0.028999999999999998,0.079,Gramercy,MN21,"{'lat': 30.04742, 'lng': -90.68981}"
159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.03,0.903,0.147,0.038,0.174,0.067,0.053,East Village,MN22,"{'lat': 40.72927, 'lng': -73.98736}"
160,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.033,0.956,0.069,0.048,0.231,0.013999999999999999,0.053,West Village,MN23,"{'lat': 40.73361, 'lng': -74.00917}"
161,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25,1.0,0.054000000000000006,0.94,0.1,0.06,0.22699999999999998,0.092,0.05,SoHo,MN24,"{'lat': 51.5144, 'lng': -0.13535}"
162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.054000000000000006,0.94,0.1,0.06,0.22699999999999998,0.092,0.05,TriBeCa,MN24,"{'lat': 40.71538, 'lng': -74.00931}"
163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.054000000000000006,0.94,0.1,0.06,0.22699999999999998,0.092,0.05,Civic Center,MN24,"{'lat': 40.71403, 'lng': -74.00283}"
164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.054000000000000006,0.94,0.1,0.06,0.22699999999999998,0.092,0.05,Little Italy,MN24,"{'lat': 37.80076, 'lng': -122.4108}"
165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.062,0.945,0.076,0.021,0.111,0.040999999999999995,0.043,Battery Park City,MN25,"{'lat': 40.71149, 'lng': -74.01625}"
167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.139,0.848,0.29,0.044000000000000004,0.147,0.387,0.091,Chinatown,MN27,"{'lat': 40.716, 'lng': -73.9974}"
168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.055,0.9,0.282,0.032,0.08900000000000001,0.309,0.11199999999999999,Lower East Side,MN28,"{'lat': 40.71594, 'lng': -73.98681}"
170,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.038,0.95,0.08199999999999999,0.017,0.057,0.036000000000000004,0.043,Roosevelt Island,MN31,"{'lat': 40.76403, 'lng': -73.9482}"
171,0.0,1.0,0.5,0.3,0.3,1.0,0.55,0.0,0.6,0.032,0.934,0.07200000000000001,0.015,0.053,0.04,0.054000000000000006,Yorkville,MN32,"{'lat': 43.11285, 'lng': -75.271}"
176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.02,0.976,0.059000000000000004,0.016,0.13699999999999998,0.02,0.044000000000000004,Upper East Side,MN40,"{'lat': 40.77833, 'lng': -73.95189}"
177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.02,0.976,0.059000000000000004,0.016,0.13699999999999998,0.02,0.044000000000000004,Carnegie Hill,MN40,"{'lat': 40.78333, 'lng': -73.95472}"
178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.013999999999999999,0.932,0.111,0.003,0.031,0.024,0.046,Stuyvesant Town,MN50,"{'lat': 40.73167, 'lng': -73.97833}"
179,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.013999999999999999,0.932,0.111,0.003,0.031,0.024,0.046,Cooper Village,MN50,"{'lat': 39.82011, 'lng': -75.1174}"
184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.07400000000000001,0.8959999999999999,0.12,0.055999999999999994,0.105,0.146,0.11699999999999999,Brookville,QN03,"{'lat': 40.81316, 'lng': -73.56735}"
185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.065,0.8909999999999999,0.087,0.038,0.087,0.11900000000000001,0.066,Rosedale,QN05,"{'lat': 40.66205, 'lng': -73.73541}"
186,0.05,1.0,0.5,0.65,0.4,1.0,0.65,0.0,1.0,0.081,0.89,0.128,0.027000000000000003,0.08800000000000001,0.135,0.07200000000000001,Jamaica Estates,QN06,"{'lat': 33.53347, 'lng': -82.12345}"
188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.081,0.852,0.11599999999999999,0.051,0.075,0.16899999999999998,0.151,Hollis,QN07,"{'lat': 40.71344, 'lng': -73.76708}"
189,0.0,1.0,0.25,0.15,0.25,1.0,0.7,0.05,1.0,0.062,0.8740000000000001,0.09300000000000001,0.059000000000000004,0.079,0.126,0.136,St. Albans,QN08,"{'lat': 44.81088, 'lng': -73.08319}"
190,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.04,0.925,0.076,0.036000000000000004,0.051,0.11800000000000001,0.08,Breezy Point,QN10,"{'lat': 40.55649, 'lng': -73.92625}"
191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.04,0.925,0.076,0.036000000000000004,0.051,0.11800000000000001,0.08,Belle Harbor,QN10,"{'lat': 40.57594, 'lng': -73.84819}"
192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.04,0.925,0.076,0.036000000000000004,0.051,0.11800000000000001,0.08,Rockaway Park,QN10,"{'lat': 40.58011, 'lng': -73.83625}"
193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.04,0.925,0.076,0.036000000000000004,0.051,0.11800000000000001,0.08,Broad Channel,QN10,"{'lat': 40.60316, 'lng': -73.82041}"
195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.063,0.884,0.26,0.07,0.08800000000000001,0.255,0.147,Arverne,QN12,"{'lat': 40.59122, 'lng': -73.79597}"
196,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.063,0.884,0.26,0.07,0.08800000000000001,0.255,0.147,Edgemere,QN12,"{'lat': 39.24205, 'lng': -76.44802}"
197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.11800000000000001,0.865,0.23199999999999998,0.055999999999999994,0.076,0.29100000000000004,0.102,Far Rockaway,QN15,"{'lat': 40.60538, 'lng': -73.75513}"
198,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25,1.0,0.11800000000000001,0.865,0.23199999999999998,0.055999999999999994,0.076,0.29100000000000004,0.102,Bayswater,QN15,"{'lat': 51.51116, 'lng': -0.18426}"
199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.051,0.9129999999999999,0.102,0.015,0.052000000000000005,0.07400000000000001,0.068,Forest Hills,QN17,"{'lat': 40.71621, 'lng': -73.85014}"
200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.049,0.865,0.10099999999999999,0.027000000000000003,0.069,0.10099999999999999,0.077,Rego Park,QN18,"{'lat': 40.72649, 'lng': -73.85264}"
201,0.45,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.035,0.879,0.12,0.024,0.062,0.16399999999999998,0.08,Glendale,QN19,"{'lat': 33.53865, 'lng': -112.18599}"
202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.077,0.79,0.201,0.040999999999999995,0.09,0.23,0.081,Ridgewood,QN20,"{'lat': 40.7001, 'lng': -73.90569}"
203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.028999999999999998,0.907,0.09,0.012,0.057,0.149,0.079,Middle Village,QN21,"{'lat': 40.71649, 'lng': -73.88125}"
204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.158,0.7509999999999999,0.23600000000000002,0.036000000000000004,0.09300000000000001,0.262,0.083,Flushing,QN22,"{'lat': 40.76538, 'lng': -73.81736}"
205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.084,0.81,0.129,0.043,0.048,0.21100000000000002,0.092,College Point,QN23,"{'lat': 40.7876, 'lng': -73.84597}"
206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,1.0,0.204,0.727,0.239,0.035,0.047,0.33799999999999997,0.075,Corona,QN25,"{'lat': 33.87529, 'lng': -117.56644}"
208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.157,0.7390000000000001,0.20600000000000002,0.052000000000000005,0.08900000000000001,0.25,0.091,East Elmhurst,QN27,"{'lat': 40.76121, 'lng': -73.86514}"
209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.14300000000000002,0.767,0.184,0.032,0.085,0.23600000000000002,0.094,Jackson Heights,QN28,"{'lat': 40.75566, 'lng': -73.88541}"
210,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.214,0.726,0.205,0.031,0.076,0.306,0.062,Elmhurst,QN29,"{'lat': 41.89947, 'lng': -87.94034}"
211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.049,0.83,0.12,0.043,0.065,0.157,0.09,Maspeth,QN30,"{'lat': 40.72316, 'lng': -73.91264}"
212,0.0,1.0,0.4,0.5,0.35,1.0,0.35,0.0,0.5,0.10300000000000001,0.784,0.142,0.032,0.095,0.163,0.065,Hunters Point,QN31,"{'lat': 32.30153, 'lng': -86.23663}"
213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.10300000000000001,0.784,0.142,0.032,0.095,0.163,0.065,Sunnyside,QN31,"{'lat': 40.61622, 'lng': -74.10375}"
215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.027999999999999997,0.895,0.048,0.03,0.063,0.10099999999999999,0.067,Cambria Heights,QN33,"{'lat': 40.69455, 'lng': -73.73847}"
216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.061,0.86,0.10800000000000001,0.025,0.07200000000000001,0.171,0.13,Queens Village,QN34,"{'lat': 40.72677, 'lng': -73.74152}"
217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.111,0.8009999999999999,0.158,0.019,0.075,0.158,0.129,Briarwood,QN35,"{'lat': 40.71734, 'lng': -73.82675}"
218,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.111,0.8009999999999999,0.158,0.019,0.075,0.158,0.129,Jamaica Hills,QN35,"{'lat': 14.17338, 'lng': 121.21895}"
219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.099,0.9059999999999999,0.138,0.017,0.05,0.122,0.08199999999999999,Kew Gardens Hills,QN37,"{'lat': 40.73002, 'lng': -73.8234}"
222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.069,0.914,0.205,0.025,0.055999999999999994,0.142,0.125,Hillcrest,QN38,"{'lat': 41.12787, 'lng': -74.04097}"
223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.08,0.855,0.129,0.015,0.05,0.12300000000000001,0.10400000000000001,Fresh Meadows,QN41,"{'lat': 40.73482, 'lng': -73.79347}"
224,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.08,0.855,0.129,0.015,0.05,0.12300000000000001,0.10400000000000001,Utopia,QN41,"{'lat': 29.61523, 'lng': -99.52699}"
225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.03,0.884,0.09300000000000001,0.018000000000000002,0.046,0.08800000000000001,0.066,Oakland Gardens,QN42,"{'lat': 40.75399, 'lng': -73.76597}"
226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.035,0.91,0.105,0.015,0.051,0.128,0.067,Bellerose,QN43,"{'lat': 40.72427, 'lng': -73.71513}"
227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.016,0.927,0.075,0.015,0.042,0.09300000000000001,0.087,Glen Oaks,QN44,"{'lat': 40.74705, 'lng': -73.71152}"
228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.016,0.927,0.075,0.015,0.042,0.09300000000000001,0.087,Floral Park,QN44,"{'lat': 40.72371, 'lng': -73.70485}"
229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.016,0.927,0.075,0.015,0.042,0.09300000000000001,0.087,New Hyde Park,QN44,"{'lat': 40.7351, 'lng': -73.68791}"
231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.034,0.893,0.07400000000000001,0.025,0.04,0.09300000000000001,0.07,Douglaston,QN45,"{'lat': 40.76871, 'lng': -73.74708}"
232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.034,0.893,0.07400000000000001,0.025,0.04,0.09300000000000001,0.07,Little Neck,QN45,"{'lat': 40.76205, 'lng': -73.73819}"
233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.027000000000000003,0.893,0.073,0.023,0.062,0.115,0.084,Bayside,QN46,"{'lat': 40.76844, 'lng': -73.77708}"
235,0.0,0.15,0.0,0.0,0.0,0.25,0.05,0.0,0.0,0.023,0.94,0.07200000000000001,0.01,0.027999999999999997,0.08800000000000001,0.102,Ft. Totten,QN47,"{'lat': 47.98, 'lng': -98.9929}"
236,0.1,1.0,1.0,0.65,1.0,1.0,1.0,0.0,1.0,0.023,0.94,0.07200000000000001,0.01,0.027999999999999997,0.08800000000000001,0.102,Bay Terrace,QN47,"{'lat': 38.5504, 'lng': -76.5619}"
237,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.023,0.94,0.07200000000000001,0.01,0.027999999999999997,0.08800000000000001,0.102,Clearview,QN47,"{'lat': 47.83371, 'lng': -122.12596}"
238,0.45,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.022000000000000002,0.873,0.08,0.03,0.048,0.155,0.078,Auburndale,QN48,"{'lat': 42.34732, 'lng': -71.2495}"
239,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.027999999999999997,0.905,0.066,0.019,0.051,0.136,0.076,Whitestone,QN49,"{'lat': 40.79455, 'lng': -73.81847}"
240,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.15,0.763,0.141,0.036000000000000004,0.078,0.23800000000000002,0.054000000000000006,Elmhurst,QN50,"{'lat': 41.89947, 'lng': -87.94034}"
241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.15,0.763,0.141,0.036000000000000004,0.078,0.23800000000000002,0.054000000000000006,Maspeth,QN50,"{'lat': 40.72316, 'lng': -73.91264}"
242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.10300000000000001,0.784,0.156,0.022000000000000002,0.043,0.20800000000000002,0.08,Murray Hill,QN51,"{'lat': 40.76, 'lng': -73.81306}"
244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.1,0.845,0.156,0.031,0.084,0.235,0.11699999999999999,Woodhaven,QN53,"{'lat': 40.68927, 'lng': -73.85791}"
245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,1.0,0.115,0.816,0.162,0.044000000000000004,0.092,0.263,0.102,Richmond Hill,QN54,"{'lat': 43.87111, 'lng': -79.43725}"
246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.096,0.815,0.141,0.037000000000000005,0.105,0.254,0.11599999999999999,South Ozone Park,QN55,"{'lat': 40.6701, 'lng': -73.81902}"
247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.071,0.871,0.161,0.039,0.12300000000000001,0.213,0.111,Ozone Park,QN56,"{'lat': 40.67677, 'lng': -73.84375}"
248,0.05,1.0,0.05,0.6,0.5,1.0,0.45,0.0,1.0,0.027999999999999997,0.9329999999999999,0.08900000000000001,0.016,0.07400000000000001,0.141,0.095,Lindenwood,QN57,"{'lat': 42.05308, 'lng': -89.03065}"
249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.027999999999999997,0.9329999999999999,0.08900000000000001,0.016,0.07400000000000001,0.141,0.095,Howard Beach,QN57,"{'lat': 40.65788, 'lng': -73.83625}"
250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.062,0.903,0.11800000000000001,0.028999999999999998,0.051,0.106,0.076,Kew Gardens,QN60,"{'lat': 40.71427, 'lng': -73.83097}"
251,0.1,1.0,0.7,0.2,0.25,0.95,0.1,0.0,0.5,0.21,0.7879999999999999,0.245,0.057999999999999996,0.18100000000000002,0.324,0.13699999999999998,Jamaica,QN61,"{'lat': 18.16667, 'lng': -77.25}"
253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.156,0.764,0.14800000000000002,0.03,0.076,0.22399999999999998,0.075,Woodside,QN63,"{'lat': 40.74538, 'lng': -73.90541}"
254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.047,0.892,0.055,0.049,0.07200000000000001,0.126,0.081,Laurelton,QN66,"{'lat': 40.66677, 'lng': -73.75152}"
256,0.0,1.0,0.25,0.15,0.1,0.95,0.1,0.1,0.4,0.084,0.818,0.34,0.067,0.149,0.284,0.156,Ravenswood,QN68,"{'lat': 38.94814, 'lng': -81.76096}"
257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.084,0.818,0.34,0.067,0.149,0.284,0.156,Long Island City,QN68,"{'lat': 40.74482, 'lng': -73.94875}"
258,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.063,0.813,0.161,0.042,0.076,0.161,0.096,Astoria,QN70,"{'lat': 40.77205, 'lng': -73.93014}"
260,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.055,0.845,0.126,0.035,0.054000000000000006,0.15,0.092,Steinway,QN72,"{'lat': 40.77455, 'lng': -73.90375}"
262,0.35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,Airport,QN98,"{'lat': 38.74113, 'lng': -90.36562}"
264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.011000000000000001,0.9620000000000001,0.07,0.015,0.026000000000000002,0.08900000000000001,0.055999999999999994,Annadale,SI01,"{'lat': 40.54455, 'lng': -74.17653}"
265,0.0,1.0,0.45,0.25,0.55,1.0,0.65,0.0,1.0,0.011000000000000001,0.9620000000000001,0.07,0.015,0.026000000000000002,0.08900000000000001,0.055999999999999994,Huguenot,SI01,"{'lat': 41.41787, 'lng': -74.63099}"
266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.011000000000000001,0.9620000000000001,0.07,0.015,0.026000000000000002,0.08900000000000001,0.055999999999999994,Prince's Bay,SI01,"{'lat': 40.52899, 'lng': -74.19764}"
267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.011000000000000001,0.9620000000000001,0.07,0.015,0.026000000000000002,0.08900000000000001,0.055999999999999994,Eltingville,SI01,"{'lat': 40.54538, 'lng': -74.1657}"
268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.028999999999999998,0.9359999999999999,0.083,0.016,0.04,0.105,0.069,New Springville,SI05,"{'lat': 40.59344, 'lng': -74.1632}"
269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.028999999999999998,0.9359999999999999,0.083,0.016,0.04,0.105,0.069,Bloomfield,SI05,"{'lat': 40.80677, 'lng': -74.18542}"
270,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.028999999999999998,0.9359999999999999,0.083,0.016,0.04,0.105,0.069,Travis,SI05,"{'lat': 30.33469, 'lng': -97.78195}"
271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.011000000000000001,0.956,0.076,0.022000000000000002,0.04,0.078,0.07,Westerleigh,SI07,"{'lat': 40.62121, 'lng': -74.13181}"
272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.076,0.9059999999999999,0.209,0.032,0.049,0.19,0.11,Grymes Hill,SI08,"{'lat': 40.61872, 'lng': -74.09348}"
273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.076,0.9059999999999999,0.209,0.032,0.049,0.19,0.11,Clifton,SI08,"{'lat': 40.85843, 'lng': -74.16376}"
274,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.076,0.9059999999999999,0.209,0.032,0.049,0.19,0.11,Fox Hills,SI08,"{'lat': 39.04039, 'lng': -77.17109}"
275,0.15,1.0,1.0,0.6,0.5,1.0,1.0,0.0,1.0,0.026000000000000002,0.937,0.055,0.022000000000000002,0.034,0.087,0.061,Charleston,SI11,"{'lat': 32.77657, 'lng': -79.93092}"
276,0.0,0.45,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.026000000000000002,0.937,0.055,0.022000000000000002,0.034,0.087,0.061,Richmond Valley,SI11,"{'lat': -29.02684, 'lng': 153.08625}"
277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.026000000000000002,0.937,0.055,0.022000000000000002,0.034,0.087,0.061,Tottenville,SI11,"{'lat': 40.51122, 'lng': -74.24931}"
278,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.078,0.887,0.21100000000000002,0.036000000000000004,0.069,0.17300000000000001,0.086,Mariner's Harbor,SI12,"{'lat': 40.63677, 'lng': -74.15875}"
279,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.078,0.887,0.21100000000000002,0.036000000000000004,0.069,0.17300000000000001,0.086,Arlington,SI12,"{'lat': 32.73569, 'lng': -97.10807}"
280,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.078,0.887,0.21100000000000002,0.036000000000000004,0.069,0.17300000000000001,0.086,Port Ivory,SI12,"{'lat': 40.64094, 'lng': -74.18014}"
281,0.05,1.0,0.5,0.7,0.4,1.0,0.65,0.0,1.0,0.078,0.887,0.21100000000000002,0.036000000000000004,0.069,0.17300000000000001,0.086,Graniteville,SI12,"{'lat': 33.56375, 'lng': -81.80789}"
282,0.0,1.0,0.7,0.0,0.15,1.0,0.0,0.0,0.7,0.065,0.9179999999999999,0.122,0.031,0.046,0.141,0.08800000000000001,Grasmere,SI14,"{'lat': 54.45836, 'lng': -3.02519}"
283,0.0,1.0,1.0,0.3,0.1,1.0,0.0,0.0,0.7,0.065,0.9179999999999999,0.122,0.031,0.046,0.141,0.08800000000000001,Arrochar,SI14,"{'lat': 56.19609, 'lng': -4.74559}"
284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.065,0.9179999999999999,0.122,0.031,0.046,0.141,0.08800000000000001,Ft. Wadsworth,SI14,"{'lat': 40.60899, 'lng': -74.06264}"
285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.078,0.888,0.27699999999999997,0.065,0.10300000000000001,0.16399999999999998,0.099,West New Brighton,SI22,"{'lat': 40.63455, 'lng': -74.11209}"
286,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.078,0.888,0.27699999999999997,0.065,0.10300000000000001,0.16399999999999998,0.099,New Brighton,SI22,"{'lat': 40.73034, 'lng': -80.31006}"
287,0.0,1.0,0.05,0.05,0.0,1.0,0.25,0.0,0.95,0.078,0.888,0.27699999999999997,0.065,0.10300000000000001,0.16399999999999998,0.099,St. George,SI22,"{'lat': 37.10415, 'lng': -113.58412}"
288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.016,0.9179999999999999,0.071,0.015,0.06,0.11900000000000001,0.054000000000000006,Todt Hill,SI24,"{'lat': 40.60233, 'lng': -74.11209}"
289,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.016,0.9179999999999999,0.071,0.015,0.06,0.11900000000000001,0.054000000000000006,Emerson Hill,SI24,"{'lat': 40.60872, 'lng': -74.09598}"
290,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.016,0.9179999999999999,0.071,0.015,0.06,0.11900000000000001,0.054000000000000006,Heartland Village,SI24,"{'lat': 40.58833, 'lng': -74.15778}"
291,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.016,0.9179999999999999,0.071,0.015,0.06,0.11900000000000001,0.054000000000000006,Lighthouse Hill,SI24,"{'lat': 41.91149, 'lng': -72.66926}"
292,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.032,0.951,0.055,0.017,0.027000000000000003,0.094,0.076,Oakwood,SI25,"{'lat': 34.2276, 'lng': -83.88435}"
293,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.032,0.951,0.055,0.017,0.027000000000000003,0.094,0.076,Oakwood Beach,SI25,"{'lat': 39.55511, 'lng': -75.51853}"
