,Groceries,Food & Drink,Shopping,Schools,Entertainment,Fitness Facilities,Transportation,Libraries,Goods and Services,Crowded Housing,Health Ins,Poverty,Violent Crime,Property Crime,EduLessThanHS,Unemployment Rate,NTA_Name,NTA_Code,Location
33,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.10099999999999999,0.899,0.233,0.027999999999999997,0.059000000000000004,0.139,0.091,Midwood,BK43,"{'lat': 35.22403, 'lng': -80.80507}"
34,0.1,1.0,0.55,0.95,0.9,1.0,0.65,0.0,1.0,0.07200000000000001,0.929,0.142,0.034,0.086,0.14400000000000002,0.07200000000000001,Madison,BK44,"{'lat': 43.07305, 'lng': -89.40123}"
35,0.55,1.0,1.0,1.0,1.0,1.0,0.2,0.0,1.0,0.051,0.9309999999999999,0.077,0.022000000000000002,0.08900000000000001,0.09,0.09699999999999999,Georgetown,BK45,"{'lat': 5.41123, 'lng': 100.33543}"
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.051,0.9309999999999999,0.077,0.022000000000000002,0.08900000000000001,0.09,0.09699999999999999,Marine Park,BK45,"{'lat': 40.59122, 'lng': -73.91069}"
37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.051,0.9309999999999999,0.077,0.022000000000000002,0.08900000000000001,0.09,0.09699999999999999,Bergen Beach,BK45,"{'lat': 40.62038, 'lng': -73.9068}"
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.051,0.9309999999999999,0.077,0.022000000000000002,0.08900000000000001,0.09,0.09699999999999999,Mill Basin,BK45,"{'lat': 40.61008, 'lng': -73.91109}"
40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.11199999999999999,0.887,0.152,0.048,0.10099999999999999,0.163,0.09699999999999999,Canarsie,BK50,"{'lat': 40.64372, 'lng': -73.90069}"
41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.087,0.905,0.114,0.043,0.09,0.136,0.10300000000000001,Flatlands,BK58,"{'lat': 40.62122, 'lng': -73.93486}"
42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.11599999999999999,0.8490000000000001,0.23399999999999999,0.055999999999999994,0.12300000000000001,0.182,0.151,Prospect Lefferts Gardens,BK60,"{'lat': 40.65898, 'lng': -73.95049}"
43,0.15,1.0,1.0,1.0,1.0,1.0,0.65,0.0,1.0,0.11599999999999999,0.8490000000000001,0.23399999999999999,0.055999999999999994,0.12300000000000001,0.182,0.151,Wingate,BK60,"{'lat': 34.98432, 'lng': -80.44923}"
46,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.031,0.909,0.099,0.034,0.10300000000000001,0.071,0.064,Prospect Heights,BK64,"{'lat': 42.0953, 'lng': -87.93757}"
47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.046,0.888,0.24100000000000002,0.071,0.233,0.18100000000000002,0.133,Fort Greene,BK68,"{'lat': 40.69371, 'lng': -73.96708}"
48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.051,0.875,0.19399999999999998,0.064,0.139,0.087,0.08900000000000001,Clinton Hill,BK69,"{'lat': 40.68972, 'lng': -73.96528}"
49,0.0,1.0,0.0,0.4,0.1,1.0,0.1,0.0,0.6,0.253,0.948,0.565,0.015,0.051,0.305,0.057999999999999996,Williamsburg,BK72,"{'lat': 44.77361, 'lng': -85.40396}"
50,0.0,0.4,0.0,0.05,0.0,0.5,0.0,0.0,0.1,0.08900000000000001,0.862,0.225,0.057,0.163,0.165,0.071,North Side,BK73,"{'lat': 19.35, 'lng': -81.2}"
51,0.15,1.0,0.7,0.55,0.7,1.0,0.5,0.0,1.0,0.08900000000000001,0.862,0.225,0.057,0.163,0.165,0.071,South Side,BK73,"{'lat': 29.44386, 'lng': -82.25427}"
